domain,trial_type,alpha,alpha_ci_lower,alpha_ci_upper,n,trials_per_block,response_option_locations,parts,yi,vi,between_trial_type_differences
Friend-Enemy,tt1,0.175260893,-0.085466323,0.384264084,90,24,Moving,2,0.192688177,0.045454545,FALSE
Friend-Enemy,tt2,0.149021279,-0.113437961,0.371699799,90,24,Moving,2,0.161368155,0.045454545,FALSE
Friend-Enemy,tt3,-0.03045647,-0.294116407,0.266353615,90,24,Moving,2,-0.030001879,0.045454545,FALSE
Friend-Enemy,tt4,0.204683365,-0.039490852,0.428400713,90,24,Moving,2,0.22901496,0.045454545,FALSE
Gender stereotypes (1),tt1,0.135664282,-0.244973608,0.483413165,40,24,Moving,2,0.145794023,0.105263158,FALSE
Gender stereotypes (1),tt2,0.05925405,-0.337925641,0.431905145,40,24,Moving,2,0.061082155,0.105263158,FALSE
Gender stereotypes (1),tt3,0.199178621,-0.174983452,0.520008324,40,24,Moving,2,0.222117354,0.105263158,FALSE
Gender stereotypes (1),tt4,0.193429243,-0.17254856,0.500439688,40,24,Moving,2,0.214963652,0.105263158,FALSE
Gender stereotypes (2),tt1,0.306268454,0.096307029,0.488490576,95,24,Moving,2,0.365670214,0.043010753,FALSE
Gender stereotypes (2),tt2,-0.095328705,-0.310930172,0.162261277,95,24,Moving,2,-0.091054505,0.043010753,FALSE
Gender stereotypes (2),tt3,0.255641858,0.033939603,0.443541182,95,24,Moving,2,0.295232987,0.043010753,FALSE
Gender stereotypes (2),tt4,0.064192211,-0.193423681,0.31257801,95,24,Moving,2,0.066345177,0.043010753,FALSE
Gender stereotypes (3),tt1,0.501500918,0.396081238,0.592950328,183,32,Fixed,2,0.696153531,0.022099448,TRUE
Gender stereotypes (3),tt2,0.342740272,0.209223623,0.467335103,183,32,Fixed,2,0.419676015,0.022099448,FALSE
Gender stereotypes (3),tt3,0.181830137,0.029376594,0.31515243,183,32,Fixed,2,0.200685307,0.022099448,TRUE
Gender stereotypes (3),tt4,0.257310479,0.128130643,0.392944728,183,32,Fixed,2,0.297477194,0.022099448,TRUE
Gender stereotypes (4),tt1,0.235323974,-0.15964207,0.547887998,41,32,Fixed,2,0.26830303,0.102564103,FALSE
Gender stereotypes (4),tt2,0.283400394,-0.066366456,0.556592986,41,32,Fixed,2,0.333238024,0.102564103,FALSE
Gender stereotypes (4),tt3,0.159582766,-0.200948262,0.478764675,41,32,Fixed,2,0.173856804,0.102564103,FALSE
Gender stereotypes (4),tt4,0.519405146,0.29453619,0.697024167,41,32,Fixed,2,0.732730664,0.102564103,FALSE
Lincoln-Hitler,tt1,0.240606603,0.055115003,0.417407062,119,24,Moving,2,0.275235327,0.034188034,FALSE
Lincoln-Hitler,tt2,0.166602775,-0.055647856,0.358835278,119,24,Moving,2,0.18224489,0.034188034,FALSE
Lincoln-Hitler,tt3,0.178001079,-0.032007002,0.37092771,119,24,Moving,2,0.196016197,0.034188034,FALSE
Lincoln-Hitler,tt4,0.305881824,0.112449759,0.465667221,119,24,Moving,2,0.36511305,0.034188034,FALSE
Non-words,tt1,0.44521531,0.035666397,0.737238228,23,24,Fixed,2,0.589175186,0.19047619,FALSE
Non-words,tt2,0.581202567,0.322908568,0.793330621,23,24,Fixed,2,0.87036793,0.19047619,FALSE
Non-words,tt3,0.390999674,-0.120850815,0.710899051,23,24,Fixed,2,0.495936476,0.19047619,FALSE
Non-words,tt4,0.35566167,-0.125365185,0.663390968,23,24,Fixed,2,0.439531334,0.19047619,FALSE
Personality - Agreeableness,tt1,0.179853139,-0.26428181,0.546425924,33,24,Moving,2,0.198271856,0.129032258,FALSE
Personality - Agreeableness,tt2,0.140439876,-0.292708727,0.527443461,33,24,Moving,2,0.151334505,0.129032258,FALSE
Personality - Agreeableness,tt3,0.566302025,0.326733328,0.746231512,33,24,Moving,2,0.835406897,0.129032258,FALSE
Personality - Agreeableness,tt4,0.350555369,-0.016618115,0.616086276,33,24,Moving,2,0.431637696,0.129032258,FALSE
Personality - Conscientiousness,tt1,0.365764565,0.024625041,0.640932303,33,24,Moving,2,0.455335045,0.129032258,FALSE
Personality - Conscientiousness,tt2,-0.268512022,-0.582612552,0.201745867,33,24,Moving,2,-0.237844577,0.129032258,FALSE
Personality - Conscientiousness,tt3,0.18441097,-0.229196022,0.530117065,33,24,Moving,2,0.203844691,0.129032258,FALSE
Personality - Conscientiousness,tt4,0.364259608,0.017408,0.638466754,33,24,Moving,2,0.452964987,0.129032258,FALSE
Personality - Extraversion,tt1,0.314773656,-0.061213564,0.610674887,28,24,Moving,2,0.378006067,0.153846154,FALSE
Personality - Extraversion,tt2,0.33373272,-0.091707303,0.683452047,28,24,Moving,2,0.406064367,0.153846154,FALSE
Personality - Extraversion,tt3,0.490700825,0.137297846,0.749419587,28,24,Moving,2,0.674719666,0.153846154,FALSE
Personality - Extraversion,tt4,-0.199271723,-0.541606447,0.266534208,28,24,Moving,2,-0.181714475,0.153846154,FALSE
Personality - Neuroticism,tt1,0.333060064,-0.06675219,0.641334893,24,24,Moving,2,0.405055288,0.181818182,FALSE
Personality - Neuroticism,tt2,0.334413953,-0.095442241,0.643603137,24,24,Moving,2,0.407087353,0.181818182,FALSE
Personality - Neuroticism,tt3,0.455386817,0.099274735,0.691728947,24,24,Moving,2,0.607679492,0.181818182,FALSE
Personality - Neuroticism,tt4,0.3805333,-0.05402161,0.687307133,24,24,Moving,2,0.478896333,0.181818182,FALSE
Personality - Openness,tt1,0.307806851,-0.116625673,0.622046136,25,24,Moving,2,0.367890245,0.173913043,FALSE
Personality - Openness,tt2,0.457170989,0.135011344,0.711013137,25,24,Moving,2,0.610960906,0.173913043,FALSE
Personality - Openness,tt3,0.277171242,-0.184400757,0.621772243,25,24,Moving,2,0.324582935,0.173913043,FALSE
Personality - Openness,tt4,0.563323936,0.327819156,0.755694946,25,24,Moving,2,0.828563632,0.173913043,FALSE
Race (1),tt1,0.53243932,0.296350096,0.709816251,40,24,Moving,2,0.760226143,0.105263158,FALSE
Race (1),tt2,-0.019490929,-0.365852931,0.329630825,40,24,Moving,2,-0.019303414,0.105263158,FALSE
Race (1),tt3,0.229387539,-0.104094736,0.523928745,40,24,Moving,2,0.260569676,0.105263158,FALSE
Race (1),tt4,0.176709423,-0.160899242,0.480219508,40,24,Moving,2,0.19444607,0.105263158,FALSE
Race (2),tt1,0.343523548,-0.2240367,0.747414217,15,32,Fixed,2,0.420868455,0.307692308,FALSE
Race (2),tt2,0.200884046,-0.382005283,0.67098847,15,32,Fixed,2,0.22424922,0.307692308,FALSE
Race (2),tt3,0.203459517,-0.391746019,0.705743872,15,32,Fixed,2,0.227477325,0.307692308,FALSE
Race (2),tt4,0.056303504,-0.485389524,0.599310403,15,32,Fixed,2,0.057950673,0.307692308,FALSE
Religion,tt1,0.422634538,0.071580808,0.689875518,25,24,Moving,2,0.54927983,0.173913043,FALSE
Religion,tt2,0.159848956,-0.278957274,0.550011668,25,24,Moving,2,0.174173589,0.173913043,FALSE
Religion,tt3,0.343558999,-0.056114093,0.650331302,25,24,Moving,2,0.420922459,0.173913043,FALSE
Religion,tt4,0.311206716,-0.154667888,0.67688411,25,24,Moving,2,0.372814077,0.173913043,FALSE
Rich-Poor,tt1,0.074200126,-0.218144674,0.339452061,85,24,Moving,2,0.077097186,0.048192771,FALSE
Rich-Poor,tt2,0.216280799,-0.041354309,0.439117149,85,24,Moving,2,0.243704485,0.048192771,FALSE
Rich-Poor,tt3,0.220004594,-0.017731441,0.463579456,85,24,Moving,2,0.248467249,0.048192771,FALSE
Rich-Poor,tt4,0.150596889,-0.147168604,0.377701975,85,24,Moving,2,0.163221399,0.048192771,FALSE
Sexuality (1),tt1,0.650908983,0.459494502,0.816546124,27,40,Moving,2,1.052422596,0.16,FALSE
Sexuality (1),tt2,0.344474865,-0.031197824,0.646147205,27,40,Moving,2,0.422318631,0.16,FALSE
Sexuality (1),tt3,0.755386526,0.607258054,0.863120014,27,40,Moving,2,1.408075971,0.16,FALSE
Sexuality (1),tt4,0.519298499,0.182054417,0.748841378,27,40,Moving,2,0.732508781,0.16,FALSE
Sexuality (2),tt1,0.844065919,0.720542233,0.931054793,21,40,Moving,2,1.85832192,0.210526316,FALSE
Sexuality (2),tt2,0.750168922,0.584058384,0.882841607,21,40,Moving,2,1.386970278,0.210526316,FALSE
Sexuality (2),tt3,0.842956094,0.734471012,0.922921123,21,40,Moving,2,1.851229854,0.210526316,FALSE
Sexuality (2),tt4,0.664430938,0.450206799,0.830096845,21,40,Moving,2,1.091927495,0.210526316,FALSE
